train,age,educ,black,hisp,married,earn96,unem96,earn98,unem98
0,37,11,1,0,1,0,1,1.617923736572266,0
0,30,12,1,0,0,0,1,0,1
1,27,11,1,0,0,0,1,0,1
1,33,8,1,0,0,0,1,9.070150375366211,0
0,22,9,1,0,0,0,1,4.019341468811035,0
1,23,12,1,0,0,0,1,7.33671760559082,0
0,32,11,1,0,0,0,1,2.622541427612305,0
1,22,16,1,0,0,0,1,7.59904670715332,0
0,19,9,1,0,0,0,1,0,1
1,21,13,1,0,0,0,1,13.40792465209961,0
1,18,8,1,0,0,0,1,0,1
1,27,10,1,0,1,0,1,5.194059371948242,0
0,17,7,1,0,0,0,1,8.771588325500488,0
0,19,10,1,0,0,0,1,0,1
1,27,13,1,0,0,0,1,9.854897499084473,0
0,23,10,1,0,0,0,1,5.557600021362305,0
1,40,12,1,0,0,0,1,0,1
0,26,12,1,0,0,0,1,0,1
1,23,11,1,0,0,0,1,7.287500381469727,0
1,24,11,1,0,0,0,1,12.72518730163574,0
1,18,10,1,0,0,0,1,7.644006729125977,0
1,29,11,1,0,1,0,1,16.23934745788574,0
0,25,11,1,0,0,0,1,0,1
0,17,10,1,0,0,0,1,0,1
0,24,11,1,0,0,0,1,.022601842880249,0
0,17,10,1,0,0,0,1,.0244579315185547,0
1,48,4,1,0,0,0,1,0,1
1,25,11,1,0,1,0,1,.9872908592224121,0
1,20,12,1,0,0,0,1,3.141817092895508,0
1,25,12,1,0,0,0,1,9.136128425598145,0
0,42,14,1,0,0,0,1,5.90274715423584,0
1,25,5,1,0,0,0,1,0,1
0,23,12,1,0,1,0,1,7.152740478515625,0
1,46,8,1,0,1,0,1,7.206182479858398,0
1,24,10,1,0,0,0,1,0,1
1,21,12,1,0,0,0,1,0,1
0,17,8,1,0,0,0,1,0,1
1,20,11,1,0,0,0,1,2.425724983215332,0
1,25,11,1,0,1,0,1,6.5709228515625,0
1,17,8,1,0,0,0,1,0,1
1,17,9,1,0,0,0,1,3.075996875762939,0
0,25,5,1,0,0,0,1,0,1
1,23,12,1,0,0,0,1,16.37249183654785,0
1,28,8,1,0,0,0,1,0,1
1,31,11,1,0,1,0,1,0,1
1,18,11,1,0,0,0,1,10.82279014587402,0
1,25,12,1,0,0,0,1,3.142017841339111,0
0,30,11,1,0,1,0,1,0,1
1,17,10,1,0,0,0,1,5.105654716491699,0
0,37,9,1,0,0,0,1,6.397600173950195,0
1,41,4,1,0,1,0,1,7.63116455078125,0
1,42,14,1,0,1,0,1,7.159263610839844,0
0,17,8,1,0,0,0,1,0,1
1,29,8,1,0,0,0,1,8.028016090393066,0
1,35,10,1,0,0,0,1,0,1
1,27,11,1,0,0,0,1,11.80191612243652,0
1,29,4,1,0,0,0,1,6.562495231628418,0
0,28,9,1,0,0,0,1,4.050457954406738,0
0,27,11,1,0,0,0,1,6.473734855651855,0
0,45,5,1,0,1,0,1,1.333526611328125,0
0,29,13,1,0,0,0,1,10.43722629547119,0
1,27,9,1,0,0,0,1,7.024502754211426,0
1,46,13,1,0,0,0,1,.1493680477142334,0
1,18,6,1,0,0,0,1,0,1
1,25,12,1,0,0,0,1,11.11319541931152,0
0,28,15,1,0,0,0,1,0,1
0,22,12,1,0,0,0,1,0,1
1,21,9,1,0,0,0,1,11.36190891265869,0
1,40,11,1,0,0,0,1,0,1
0,22,11,1,0,0,0,1,6.826835632324219,0
1,25,12,1,0,0,0,1,10.62798881530762,0
1,18,12,1,0,0,0,1,6.988803863525391,0
1,27,13,1,0,0,0,1,0,1
