year,Avg_rainfall,Avg_mean
1951,1314.86,25.33
1952,1324.37,25.41
1953,1418.67,25.58
1954,1468.49,25.24
1955,1660.78,25.02
1956,1684.58,24.95
1957,1391.99,25.15
1958,1522.14,25.75
1959,1575.45,25.36
1960,1425.77,25.39
1961,1752.73,24.97
1962,1406.26,25.05
1963,1422.89,25.24
1964,1402.79,25.23
1965,1187.18,25.23
1966,1375.57,25.52
1967,1306.27,25.17
1968,1383.24,25.09
1969,1544.34,25.58
1970,1501.57,25.23
1971,1144.6,24.83
1972,1404.78,25.22
1973,1335.33,25.37
1974,1559.15,25.08
1975,1491.99,24.84
1976,1496.14,25.11
1977,1217.67,25.29
1978,1440.28,25.13
1979,1444.96,25.62
1980,1303.67,25.6
1981,1527.92,25.29
1982,1388.49,25.25
1983,1374.21,25.12
1984,1304.62,25.22
1985,1293.3,25.4
1986,1585.44,25.23
1987,1331.84,25.65
1988,1365.33,25.55
1989,1381.65,25.15
1990,1293.94,25.26
1991,1430.49,25.39
1992,1475.8,25.25
1993,1460.06,25.46
1994,1409.6,25.39
1995,1487,25.46
1996,1617.46,25.42
1997,1423.69,25.35
1998,1340.14,25.72
1999,1359.24,25.57
2000,1193.69,25.53
2001,1412.75,25.6
2002,1332.08,25.74
2003,1328.94,25.61
2004,1356.97,25.65
2005,1446.08,25.58
2006,1339.11,25.72
2007,1185.06,25.67
2008,1483.11,25.55
2009,1381.8,26.05
2010,1266.62,26.03
2011,1486.72,25.62
2012,1248.69,25.6
2013,1265.07,25.68
2014,1256.36,25.73
2015,2045.87,25.92
2016,1270.35,26.2
2017,1541.54,26.04
2018,1545.38,25.9
2019,,25.86
2020,,25.78
,,25.93
